District,year,literacy_rate
Parsa,2008,51.907
Pyuthan,2008,60.973
Ramechhap,2008,55.354
Rasuwa,2008,47.795
Rautahat,2008,39.012
Rolpa,2008,53.256
Rukum,2008,55.551
Rupandehi,2008,68.732
Salyan,2008,59.344
Sankhuwasabha,2008,64.831
Saptari,2008,53.042
Sarlahi,2008,43.369
Sindhuli,2008,57.497
Sindhupalchok,2008,53.906
Siraha,2008,47.365
Solukhumbu,2008,58.716
Sunsari,2008,66.145
Surkhet,2008,69.977
Syangja,2008,73.633
Tanahu,2008,70.975
Taplejung,2008,65.693
Terhathum,2008,70.019
Udayapur,2008,64.249
Achham,2013,59.08
Arghakhanchi,2013,74.08
Baglung,2013,73.52
Baitadi,2013,65.76
Bajhang,2013,58.58
Bajura,2013,58.8
Banke,2013,64.6
Bara,2013,54.5
Bardiya,2013,67.7
Bhaktapur,2013,82.96
Bhojpur,2013,71.22
Chitawan,2013,78.34
Dadeldhura,2013,67.88
Dailekh,2013,65.1
Dang,2013,72.52
Darchula,2013,67.88
Dhading,2013,64.8
Dhankuta,2013,75.8
Dhanusha,2013,53.36
Dolakha,2013,64.7
Dolpa,2013,56.68
Doti,2013,59.18
Gorkha,2013,67.52
Gulmi,2013,74.14
Humla,2013,51
Ilam,2013,79
Jajarkot,2013,60.94
Jhapa,2013,76.64
Jumla,2013,57.8
Kabhreplanchok,2013,68.56
Kailali,2013,59.98
Kalikot,2013,72.48
Kanchanpur,2013,58.28
Kapilbastu,2013,83.46
Kaski,2013,86.88
Kathmandu,2013,70.98
Khotang,2013,70.24
Lalitpur,2013,83.62
Lamjung,2013,72.38
Mahotari,2013,49.08
Makawanpur,2013,69.88
Manang,2013,75.52
Morang,2013,72.2
Mugu,2013,54.66
Mustang,2013,67.98
Myagdi,2013,73.46
Nawalparasi,2013,72.68
Nuwakot,2013,61.66
Okhaldhunga,2013,66.3
Palpa,2013,77.7
Panchthar,2013,74.54
Parbat,2013,75.06
Parsa,2013,58.54
Pyuthan,2013,69.62
Ramechhap,2013,63.38
Rasuwa,2013,56.8
Rautahat,2013,44.92
Rolpa,2013,63.12
Rukum,2013,63.96
Rupandehi,2013,72.08
Salyan,2013,66.66
Sankhuwasabha,2013,71.46
Saptari,2013,57.14
Sarlahi,2013,49.1
Sindhuli,2013,62.92
Sindhupalchok,2013,61.28
Siraha,2013,53.18
Solukhumbu,2013,66.74
Sunsari,2013,70.42
Surkhet,2013,75.02
Syangja,2013,77.62
Tanahu,2013,76.16
Taplejung,2013,73.48
Terhathum,2013,76.06
Udayapur,2013,70.48
